SAMPLE	WINDOW_SIZE	TOTAL_CLUSTERS	ALIGNED_READS	AT_DROPOUT	GC_DROPOUT
sample1	100	4966	6936	5.197664	1.465698
sample2	100	4954	6567	6.32662	0.252531
