SAMPLE	LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
sample1	Unknown Library	1325	2786	3064	87	0	0	0.012614	
sample2	Unknown Library	1167	2682	3433	25	0	0	0.003828	
