SAMPLE	MAPQ_Mean	MAPQ_Median	MAPQ_SD	MAPQ_Mode	MAPQ_ModePercent
sample1	34.0818	50	26.6621587415558	59	33.44
sample2	32.0349	44	27.0205751602379	0	37.21
