SAMPLE	GC	WINDOWS	READ_STARTS	MEAN_BASE_QUALITY	NORMALIZED_COVERAGE	ERROR_BAR_WIDTH
out/default/sample2	8	214901	0	0	0	0
out/default/sample2	9	243345	0	0	0	0
out/default/sample2	10	287961	0	0	0	0
out/default/sample2	11	353018	0	0	0	0
out/default/sample2	12	461843	0	0	0	0
out/default/sample2	13	610524	1	0	0.713668	0.713668
out/default/sample2	14	866615	0	0	0	0
out/default/sample2	15	1276618	0	0	0	0
out/default/sample2	16	1911027	1	0	0.227999	0.227999
out/default/sample2	17	2870773	0	0	0	0
out/default/sample2	18	4306582	2	0	0.202347	0.143081
out/default/sample2	19	6357009	7	22	0.479782	0.181341
out/default/sample2	20	9183190	8	23	0.379573	0.134199
out/default/sample2	21	12917454	4	21	0.134922	0.067461
out/default/sample2	22	17640188	14	25	0.345799	0.092419
out/default/sample2	23	23418465	24	21	0.446531	0.091148
out/default/sample2	24	30230970	36	23	0.518859	0.086477
out/default/sample2	25	37915861	54	23	0.620543	0.084445
out/default/sample2	26	46182566	77	22	0.72646	0.082788
out/default/sample2	27	54815892	102	24	0.810761	0.080277
out/default/sample2	28	63524441	135	24	0.925959	0.079694
out/default/sample2	29	71999791	127	23	0.768549	0.068198
out/default/sample2	30	80047325	175	23	0.952555	0.072006
out/default/sample2	31	87470369	188	23	0.936474	0.068299
out/default/sample2	32	93977180	222	23	1.029271	0.06908
out/default/sample2	33	99428237	218	23	0.955313	0.064702
out/default/sample2	34	103666273	192	24	0.80698	0.058239
out/default/sample2	35	106872856	252	24	1.027382	0.064719
out/default/sample2	36	108913729	254	23	1.016132	0.063758
out/default/sample2	37	109578595	236	23	0.938394	0.061084
out/default/sample2	38	108572510	233	23	0.93505	0.061257
out/default/sample2	39	106196649	247	23	1.01341	0.064482
out/default/sample2	40	102845644	236	24	0.999828	0.065083
out/default/sample2	41	98812843	222	24	0.978901	0.0657
out/default/sample2	42	94324400	238	23	1.09939	0.071263
out/default/sample2	43	89840132	205	23	0.99422	0.069439
out/default/sample2	44	85792102	204	22	1.036053	0.072538
out/default/sample2	45	82343538	193	22	1.021238	0.07351
out/default/sample2	46	79443525	224	23	1.228538	0.082085
out/default/sample2	47	76991699	202	22	1.143159	0.080432
out/default/sample2	48	74420026	187	22	1.09484	0.080063
out/default/sample2	49	71215537	170	23	1.040095	0.079772
out/default/sample2	50	67123561	157	22	1.019116	0.081334
out/default/sample2	51	62330076	156	23	1.090501	0.08731
out/default/sample2	52	57349287	157	22	1.192808	0.095196
out/default/sample2	53	52683098	112	22	0.926287	0.087526
out/default/sample2	54	48523384	124	23	1.113447	0.099991
out/default/sample2	55	44858897	109	21	1.05871	0.101406
out/default/sample2	56	41330603	100	22	1.05421	0.105421
out/default/sample2	57	37579084	89	22	1.031912	0.109382
out/default/sample2	58	33446311	73	22	0.950985	0.111304
out/default/sample2	59	28961591	80	22	1.203557	0.134562
out/default/sample2	60	24460903	82	23	1.46063	0.1613
out/default/sample2	61	20307467	66	23	1.416078	0.174307
out/default/sample2	62	16760353	54	24	1.403814	0.191035
out/default/sample2	63	13834411	49	24	1.543243	0.220463
out/default/sample2	64	11421283	36	24	1.373367	0.228894
out/default/sample2	65	9412261	45	24	2.083136	0.310536
out/default/sample2	66	7748579	32	22	1.799397	0.318091
out/default/sample2	67	6292539	21	23	1.454094	0.317309
out/default/sample2	68	5031060	26	22	2.251712	0.441597
out/default/sample2	69	4025404	19	24	2.056568	0.471809
out/default/sample2	70	3228609	17	20	2.294206	0.556427
out/default/sample2	71	2586312	14	22	2.358556	0.63035
out/default/sample2	72	2092749	10	30	2.082005	0.658388
out/default/sample2	73	1708384	14	27	3.570603	0.954284
out/default/sample2	74	1409191	7	21	2.164348	0.818047
