SAMPLE	normalized_position	All_Reads.normalized_coverage
out/rnaseq/sample2	45	1.162661
out/rnaseq/sample2	46	1.197183
out/rnaseq/sample2	47	1.275922
out/rnaseq/sample2	48	1.295772
out/rnaseq/sample2	49	1.299986
out/rnaseq/sample2	50	1.272718
out/rnaseq/sample2	51	1.298963
out/rnaseq/sample2	52	1.308209
out/rnaseq/sample2	53	1.375435
out/rnaseq/sample2	54	1.336604
out/rnaseq/sample2	55	1.316067
out/rnaseq/sample2	56	1.266633
out/rnaseq/sample2	57	1.226707
out/rnaseq/sample2	58	1.110933
out/rnaseq/sample2	59	1.170983
out/rnaseq/sample2	60	1.150479
out/rnaseq/sample2	61	1.198932
out/rnaseq/sample2	62	1.17881
out/rnaseq/sample2	63	1.164055
out/rnaseq/sample2	64	1.185223
out/rnaseq/sample2	65	1.258056
out/rnaseq/sample2	66	1.277629
out/rnaseq/sample2	67	1.308321
out/rnaseq/sample2	68	1.270229
out/rnaseq/sample2	69	1.316318
out/rnaseq/sample2	70	1.294304
out/rnaseq/sample2	71	1.280162
out/rnaseq/sample2	72	1.289529
out/rnaseq/sample2	73	1.242965
out/rnaseq/sample2	74	1.190963
out/rnaseq/sample2	75	1.238539
out/rnaseq/sample2	76	1.198282
out/rnaseq/sample2	77	1.124851
out/rnaseq/sample2	78	1.092919
out/rnaseq/sample2	79	1.102895
out/rnaseq/sample2	80	1.10637
out/rnaseq/sample2	81	1.163107
out/rnaseq/sample2	82	1.222696
out/rnaseq/sample2	83	1.255536
out/rnaseq/sample2	84	1.163536
out/rnaseq/sample2	85	1.108843
out/rnaseq/sample2	86	1.113642
out/rnaseq/sample2	87	1.141506
out/rnaseq/sample2	88	1.169839
out/rnaseq/sample2	89	1.183871
out/rnaseq/sample2	90	1.173868
out/rnaseq/sample2	91	1.133853
out/rnaseq/sample2	92	1.104763
out/rnaseq/sample2	93	1.117617
out/rnaseq/sample2	94	1.038114
out/rnaseq/sample2	95	0.953558
out/rnaseq/sample2	96	0.917718
out/rnaseq/sample2	97	0.825899
out/rnaseq/sample2	98	0.725087
out/rnaseq/sample2	99	0.666468
out/rnaseq/sample2	100	0.574789
